dataset,method,seed,C,tol,fraction,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
SUSY_10pct,DCD_L1_perm,42,0.001,1,0.1,2.723958730697632,4,185.3980277946386,0.7859866666666666,0.8446906983744732,0.6531042709181892,0.7366443525628404,0.8527469531695222
SUSY_10pct,LinearSVC_L1,42,0.001,1,0.1,0.4753580093383789,5,,0.7851733333333333,0.8478890413046791,0.6473874083556383,0.7341955919229246,0.852622050702894
SUSY_10pct,LinearSVC_L2,42,0.001,1,0.1,1.2225401401519775,14,,0.7857466666666667,0.8353180419170453,0.6632578843244501,0.7394103528801246,0.853727490738304
SUSY_10pct,SVC_linear,42,0.001,1,0.1,176.4855284690857,5000,,0.45914666666666665,0.4586096256684492,0.9980216455254277,0.6284395266185469,0.5017458648620247
SUSY_10pct,DCD_L1_perm,142,0.001,1,0.1,0.35210347175598145,4,185.17875100854263,0.7835533333333333,0.846144972120746,0.6427058840710937,0.730526298315945,0.8510632531685951
SUSY_10pct,LinearSVC_L1,142,0.001,1,0.1,0.4609065055847168,5,,0.78408,0.8445789805389508,0.6458458078366656,0.7319628581359551,0.8511920465590155
SUSY_10pct,LinearSVC_L2,142,0.001,1,0.1,1.2584264278411865,14,,0.7856066666666667,0.8329116244957829,0.6634293809238678,0.7385723460122101,0.8523923342623864
SUSY_10pct,SVC_linear,142,0.001,1,0.1,173.43438267707825,5000,,0.4635666666666667,0.4595553516984594,0.9949907262716692,0.6287230361056638,0.7433644425833192
SUSY_10pct,DCD_L1_perm,242,0.001,1,0.1,0.3260674476623535,4,185.33686134437238,0.7848333333333334,0.8463838322673428,0.649314074181607,0.734866221422645,0.8525829532805661
SUSY_10pct,LinearSVC_L1,242,0.001,1,0.1,0.4413750171661377,5,,0.7837866666666666,0.8492268781973904,0.6434201930754155,0.7321351878159172,0.8524702062628593
SUSY_10pct,LinearSVC_L2,242,0.001,1,0.1,1.1053187847137451,14,,0.7851333333333333,0.8354411845452715,0.6626406329389563,0.739074820679717,0.8539137495050375
SUSY_10pct,SVC_linear,242,0.001,1,0.1,174.71129703521729,5000,,0.47075333333333336,0.4642823132490783,0.9908688393699644,0.632295656765432,0.7281833374897788
SUSY_20pct,DCD_L1_perm,42,0.001,1,0.2,0.5869123935699463,3,365.2225954682672,0.7843433333333333,0.843201194729579,0.6496573621620048,0.7338831417230529,0.8521836398066587
SUSY_20pct,LinearSVC_L1,42,0.001,1,0.2,1.1890149116516113,6,,0.7843566666666667,0.8429348544661239,0.6499923534595133,0.7339958799850331,0.852202698820175
SUSY_20pct,LinearSVC_L2,42,0.001,1,0.2,1.9651744365692139,10,,0.78458,0.8319557215793367,0.6633555932623054,0.738150612221745,0.8525407440398751
SUSY_20pct,SVC_linear,42,0.001,1,0.2,353.8687644004822,5000,,0.45818,0.4579234753951814,0.9997669625756461,0.6281398987911676,0.6200752434993606
SUSY_20pct,DCD_L1_perm,142,0.001,1,0.2,3.8167247772216797,5,365.4968160426595,0.78494,0.8461355935420799,0.6485613473500418,0.7342904445377944,0.8525239896995577
SUSY_20pct,LinearSVC_L1,142,0.001,1,0.2,2.0128748416900635,6,,0.78502,0.8458490154625004,0.6490924302498999,0.734522672638061,0.85255693833772
SUSY_20pct,LinearSVC_L2,142,0.001,1,0.2,5.524603605270386,15,,0.7856533333333333,0.8344229169142993,0.6639263759048416,0.7394742812692445,0.8530929261675015
SUSY_20pct,SVC_linear,142,0.001,1,0.2,Timeout >500s
SUSY_20pct,DCD_L1_perm,242,0.001,1,0.2,2.703423261642456,4,365.3158731896905,0.7845966666666667,0.8413552407507906,0.6535523494566995,0.7356571040542585,0.852563478573613
SUSY_20pct,LinearSVC_L1,242,0.001,1,0.2,1.469268560409546,6,,0.78413,0.8452552529773193,0.6479194679652578,0.7335475562540886,0.8523941230561587
SUSY_20pct,LinearSVC_L2,242,0.001,1,0.2,3.3648974895477295,15,,0.78457,0.8333637958765902,0.6627902751026639,0.738353663226846,0.8529338278070071
SUSY_20pct,SVC_linear,242,0.001,1,0.2,Timeout >500s
SUSY_30pct,DCD_L1_perm,42,0.001,1,0.3,1.7631261348724365,5,544.7292955427117,0.78472,0.8417755223506562,0.6522931726712657,0.7350189827022178,0.852594772624792
SUSY_30pct,LinearSVC_L1,42,0.001,1,0.3,2.3292911052703857,6,,0.7851133333333333,0.8390439433613383,0.6564780246721785,0.7366176122110458,0.852706686874404
SUSY_30pct,LinearSVC_L2,42,0.001,1,0.3,4.961910963058472,14,,0.7849222222222222,0.8308488462284274,0.6656439186138527,0.739127505020148,0.8526094015354906
SUSY_30pct,SVC_linear,42,0.001,1,0.3,Timeout >500s
SUSY_30pct,DCD_L1_perm,142,0.001,1,0.3,2.3523166179656982,5,544.3340807769551,0.7849977777777778,0.8378845382455491,0.6582838802265146,0.7373045416656485,0.8526245679970996
SUSY_30pct,LinearSVC_L1,142,0.001,1,0.3,2.6294186115264893,6,,0.7849311111111111,0.8387829499105657,0.6570620975874641,0.7368844592702548,0.8526155268415974
SUSY_30pct,LinearSVC_L2,142,0.001,1,0.3,7.024213552474976,15,,0.7848622222222222,0.8305826063842641,0.6665890931657745,0.7396042906172334,0.8526737612302715
SUSY_30pct,SVC_linear,142,0.001,1,0.3,Timeout >500s
SUSY_30pct,DCD_L1_perm,242,0.001,1,0.3,1.9005160331726074,4,544.6798123501361,0.7849333333333334,0.8416118791090669,0.6533982843612933,0.7356575511586492,0.8529963262479495
SUSY_30pct,LinearSVC_L1,242,0.001,1,0.3,2.4529688358306885,5,,0.7849711111111111,0.8413130474412681,0.6538398090284516,0.7358230429642815,0.8530353605102206
SUSY_30pct,LinearSVC_L2,242,0.001,1,0.3,7.292634010314941,15,,0.7846733333333333,0.831382187831892,0.664669293172379,0.7387368926253576,0.8529637542555139
SUSY_30pct,SVC_linear,242,0.001,1,0.3,Timeout >500s
SUSY_40pct,DCD_L1_perm,42,0.001,1,0.4,3.3888094425201416,5,724.2995443060721,0.7853333333333333,0.8368875442739079,0.6601187358128164,0.7380665733901669,0.8531882151026826
SUSY_40pct,LinearSVC_L1,42,0.001,1,0.4,3.7901418209075928,6,,0.7848716666666666,0.8406174229506053,0.654556632326407,0.7360102424189124,0.8530440897655011
SUSY_40pct,LinearSVC_L2,42,0.001,1,0.4,13.439933776855469,21,,0.78482,0.8311858246251703,0.6655025900704267,0.7391736498880799,0.85290761778642
SUSY_40pct,SVC_linear,42,0.001,1,0.4,Timeout >500s
SUSY_40pct,DCD_L1_perm,142,0.001,1,0.4,2.832592248916626,4,723.7748247337167,0.784645,0.8401581513614709,0.6553189634505154,0.7363156058110847,0.8526319157435531
SUSY_40pct,LinearSVC_L1,142,0.001,1,0.4,3.3686718940734863,5,,0.7847116666666667,0.8399979524503121,0.6556822061911093,0.7364832748184884,0.8526034536518903
SUSY_40pct,LinearSVC_L2,142,0.001,1,0.4,13.654335737228394,21,,0.7846016666666666,0.831576987863736,0.665293609107222,0.739199309046367,0.852530320887512
SUSY_40pct,SVC_linear,142,0.001,1,0.4,Timeout >500s
SUSY_40pct,DCD_L1_perm,242,0.001,1,0.4,3.0504419803619385,4,724.2054149871977,0.7848866666666666,0.8443837532366895,0.6502132180645912,0.7346856550839513,0.8528757889948754
SUSY_40pct,LinearSVC_L1,242,0.001,1,0.4,3.9567458629608154,5,,0.785305,0.8410591076625542,0.6550924915222169,0.7365182868585384,0.8530461190680254
SUSY_40pct,LinearSVC_L2,242,0.001,1,0.4,15.217655897140503,21,,0.7848566666666666,0.8320438867474051,0.6644398841490925,0.7388561833667132,0.8526937176451459
SUSY_40pct,SVC_linear,242,0.001,1,0.4,Timeout >500s
SUSY_50pct,DCD_L1_perm,42,0.001,1,0.5,4.619088888168335,4,902.6761605684633,0.7837826666666666,0.8418095277575739,0.6501737677624417,0.733684450816455,0.8519260658233165
SUSY_50pct,LinearSVC_L1,42,0.001,1,0.5,5.723795175552368,6,,0.784164,0.8389835251973058,0.6544233646328755,0.7352991675210573,0.8520871147145122
SUSY_50pct,LinearSVC_L2,42,0.001,1,0.5,20.856339693069458,21,,0.783792,0.830839655675518,0.6630040574918065,0.7374935650664862,0.851798998239512
SUSY_50pct,SVC_linear,42,0.001,1,0.5,Timeout >500s
SUSY_50pct,DCD_L1_perm,142,0.001,1,0.5,4.674645185470581,5,903.2603630376506,0.78498,0.839555815835904,0.6555693422577958,0.736242114577217,0.8521565561951685
