dataset,method,seed,C,tol,sparsity,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
synth_sp0.5,DCD_L1_perm,42,0.001,1,0.5,8.00590705871582,16,7.136499880700001,0.9020666666666667,0.8968147751605996,0.9056629274226247,0.9012171340192321,0.9717906886544883
synth_sp0.5,LinearSVC_L1,42,0.001,1,0.5,3.8336496353149414,17,,0.9017333333333334,0.8961091054953871,0.9057980808217326,0.9009275440247345,0.9717946182560147
synth_sp0.5,LinearSVC_L2,42,0.001,1,0.5,3.8432564735412598,16,,0.9225333333333333,0.9203396684189243,0.9228274091093391,0.9215818599001214,0.9816453291378229
synth_sp0.5,SVC_linear,42,0.001,1,0.5,Timeout >500s
synth_sp0.5,DCD_L1_perm,142,0.001,1,0.5,3.7027955055236816,15,7.157516768145898,0.9044,0.9037634408602151,0.903520558989519,0.9036419836043542,0.972927874299896
synth_sp0.5,LinearSVC_L1,142,0.001,1,0.5,3.1578383445739746,16,,0.9052666666666667,0.9044740024183797,0.9045955388336469,0.9045347665435002,0.9730915463104318
synth_sp0.5,LinearSVC_L2,142,0.001,1,0.5,3.046434164047241,15,,0.9243333333333333,0.924142568930733,0.9232733136253696,0.9237077367748874,0.9817339653877255
synth_sp0.5,SVC_linear,142,0.001,1,0.5,Timeout >500s
synth_sp0.5,DCD_L1_perm,242,0.001,1,0.5,4.97463059425354,15,7.2130061862419765,0.9055333333333333,0.9032910709468573,0.9053670406921726,0.9043278644250895,0.9730389683629397
synth_sp0.5,LinearSVC_L1,242,0.001,1,0.5,3.500649929046631,17,,0.9064,0.9050966608084359,0.9050966608084359,0.9050966608084359,0.9731331905781129
synth_sp0.5,LinearSVC_L2,242,0.001,1,0.5,3.700037717819214,16,,0.9247333333333333,0.9222581514416599,0.9253751520886846,0.9238140225386329,0.9823200966027531
synth_sp0.5,SVC_linear,242,0.001,1,0.5,Skipped (prior timeout)
synth_sp0.6,DCD_L1_perm,42,0.001,1,0.6,5.796184778213501,15,7.37137657443336,0.9102666666666667,0.9123759099933819,0.9097268048040121,0.9110494316679884,0.9755244601693217
synth_sp0.6,LinearSVC_L1,42,0.001,1,0.6,2.2365002632141113,17,,0.9104666666666666,0.912083553675304,0.9105186749373103,0.9113004425071,0.975585728849535
synth_sp0.6,LinearSVC_L2,42,0.001,1,0.6,2.4858715534210205,16,,0.9276666666666666,0.9302757158006363,0.9262240992477234,0.928245486409629,0.9842483663744753
synth_sp0.6,SVC_linear,42,0.001,1,0.6,Timeout >500s
synth_sp0.6,DCD_L1_perm,142,0.001,1,0.6,4.1014244556427,15,7.3911290978475375,0.9116,0.9108453384071759,0.9091155724362453,0.909979633401222,0.9754398863484076
synth_sp0.6,LinearSVC_L1,142,0.001,1,0.6,2.5136876106262207,16,,0.9104,0.9100680272108843,0.9073521432447097,0.9087080559706562,0.9753181797876915
synth_sp0.6,LinearSVC_L2,142,0.001,1,0.6,2.8029792308807373,17,,0.9268666666666666,0.9245027736436207,0.9268855127509495,0.9256926099031362,0.9841116210631022
synth_sp0.6,SVC_linear,142,0.001,1,0.6,Skipped (prior timeout)
synth_sp0.6,DCD_L1_perm,242,0.001,1,0.6,3.775874376296997,15,7.335093495613977,0.9074666666666666,0.9049804292077204,0.9074299634591961,0.9062035410190566,0.9733826319539256
synth_sp0.6,LinearSVC_L1,242,0.001,1,0.6,2.860348701477051,16,,0.9084666666666666,0.9057189101699488,0.9087833265665178,0.9072485307032359,0.9734897131867764
synth_sp0.6,LinearSVC_L2,242,0.001,1,0.6,3.312476396560669,16,,0.9276,0.9270903916519854,0.9258357017187712,0.926462621885157,0.9826246207635987
synth_sp0.6,SVC_linear,242,0.001,1,0.6,Skipped (prior timeout)
synth_sp0.7,DCD_L1_perm,42,0.001,1,0.7,3.5375053882598877,15,7.3808949181818075,0.9053333333333333,0.9007745726495726,0.9087846941525195,0.9047619047619048,0.972809112366927
synth_sp0.7,LinearSVC_L1,42,0.001,1,0.7,2.4871718883514404,17,,0.9040666666666667,0.8991327551701134,0.9079762867151712,0.9035328819467722,0.9723187126586277
synth_sp0.7,LinearSVC_L2,42,0.001,1,0.7,2.6431679725646973,16,,0.9250666666666667,0.9218917470525188,0.9271085960657505,0.9244928120381567,0.9821211951173527
synth_sp0.7,SVC_linear,42,0.001,1,0.7,Timeout >500s
synth_sp0.7,DCD_L1_perm,142,0.001,1,0.7,3.8911609649658203,15,7.414842500273808,0.9072666666666667,0.9067399169234892,0.9068614312516752,0.9068006700167505,0.9747407560115855
synth_sp0.7,LinearSVC_L1,142,0.001,1,0.7,2.4817047119140625,15,,0.9074,0.9068739112957256,0.9069954435808094,0.9069346733668342,0.9746762210215671
synth_sp0.7,LinearSVC_L2,142,0.001,1,0.7,2.4963090419769287,15,,0.9262666666666667,0.9230564430244942,0.9292414902171,0.9261386403098705,0.9833929603455064
synth_sp0.7,SVC_linear,142,0.001,1,0.7,Skipped (prior timeout)
synth_sp0.7,DCD_L1_perm,242,0.001,1,0.7,3.653390884399414,15,7.376447177222563,0.9032666666666667,0.900851743412297,0.9055518394648829,0.903195676829675,0.9720205602284469
synth_sp0.7,LinearSVC_L1,242,0.001,1,0.7,3.2146637439727783,17,,0.9028666666666667,0.9007725093233884,0.9047491638795987,0.902756457318294,0.972317967977422
synth_sp0.7,LinearSVC_L2,242,0.001,1,0.7,3.246196746826172,16,,0.9222666666666667,0.9199840234322993,0.9244147157190635,0.922194047777926,0.98164989388771
synth_sp0.7,SVC_linear,242,0.001,1,0.7,Skipped (prior timeout)
synth_sp0.8,DCD_L1_perm,42,0.001,1,0.8,2.7666585445404053,16,9.225347654785228,0.8650666666666667,0.8636241970021413,0.8652453740949316,0.8644340254521099,0.9484558946879686
synth_sp0.8,LinearSVC_L1,42,0.001,1,0.8,1.6840300559997559,16,,0.8636,0.8616680032076984,0.8644408688656476,0.8630522088353414,0.947721684996486
synth_sp0.8,LinearSVC_L2,42,0.001,1,0.8,2.0439822673797607,18,,0.891,0.8883553421368547,0.8930008045052292,0.8906720160481444,0.9651958152074314
synth_sp0.8,SVC_linear,42,0.001,1,0.8,Timeout >500s
synth_sp0.8,DCD_L1_perm,142,0.001,1,0.8,3.6399409770965576,15,9.31921054010853,0.868,0.865433249035006,0.8702984874849418,0.8678590496529631,0.9515708670417634
synth_sp0.8,LinearSVC_L1,142,0.001,1,0.8,1.904947280883789,17,,0.8687333333333334,0.8655328195588626,0.8719046981662428,0.868707074748283,0.9519306590877208
synth_sp0.8,LinearSVC_L2,142,0.001,1,0.8,2.3543198108673096,18,,0.8916666666666667,0.890357905982906,0.8923838843528309,0.8913697439668427,0.9673059467431326
synth_sp0.8,SVC_linear,142,0.001,1,0.8,Skipped (prior timeout)
synth_sp0.8,DCD_L1_perm,242,0.001,1,0.8,2.544128179550171,15,9.228232129074279,0.8627333333333334,0.8633449104995993,0.8618482464328577,0.862595929262596,0.946925563500899
synth_sp0.8,LinearSVC_L1,242,0.001,1,0.8,1.8990504741668701,18,,0.8622666666666666,0.8628289034326165,0.8614481930924123,0.8621379954624316,0.9474897235109284
synth_sp0.8,LinearSVC_L2,242,0.001,1,0.8,2.064131498336792,18,,0.8882666666666666,0.8869102990033223,0.889985331377517,0.8884451544195953,0.9645533682587265
synth_sp0.8,SVC_linear,242,0.001,1,0.8,Skipped (prior timeout)
