method,a9a,cod_rna,news20,rcv1,real-sim,skin
DCD_L1_perm,0.8479,0.9607,0.9688,0.9116,0.9442,0.9318
DCD_L1_perm_shrink,0.8478,0.9612,0.9689,0.9109,0.9436,0.9323
LinearSVC_L1,0.8482,0.9616,0.9676,0.9103,0.9444,0.9338
DCD_L1,0.8479,0.9605,0.969,0.9115,0.9417,0.9325
DCD_L2_perm,0.8489,0.9594,0.9687,0.9157,0.9446,0.9071
LinearSVC_L2,0.849,0.9596,0.9674,0.9143,0.9454,0.9089
DCD_L2_perm_shrink,0.8489,0.9598,0.9688,0.9139,0.9446,0.9045
DCD_L1_shrink,0.847,0.9613,0.969,0.9035,0.9341,0.9324
DCD_L2,0.8417,0.9469,0.9689,0.9156,0.943,0.8847
DCD_L2_shrink,0.8378,0.9478,0.9689,0.9081,0.9377,0.9072
DCD_L2_online,0.7631,0.9004,0.9441,0.9425,0.9397,0.8647
DCD_L1_online,0.7811,0.9504,0.938,0.9424,0.9399,0.7981
SVC_linear,0.6344,0.8831,0.9212,0.9092,0.9428,0.4281
