method,acc_mean,acc_std,acc_min,acc_max,auc_mean,auc_std,auc_min,auc_max
DCD_L1_perm,0.9275,0.0417,0.8462,0.9697,0.9608,0.0328,0.899,0.9952
DCD_L1_perm_shrink,0.9275,0.0418,0.8461,0.97,0.9605,0.0327,0.8992,0.9948
LinearSVC_L1,0.9276,0.0417,0.8462,0.9687,0.9605,0.0328,0.8992,0.9952
DCD_L1,0.9272,0.0415,0.847,0.9697,0.9604,0.0327,0.8986,0.9952
DCD_L2_perm,0.9241,0.0415,0.8479,0.9693,0.9602,0.0333,0.9012,0.9949
LinearSVC_L2,0.9241,0.0413,0.8481,0.9687,0.96,0.0331,0.9013,0.9953
DCD_L2_perm_shrink,0.9234,0.0419,0.8482,0.9697,0.9596,0.0335,0.9012,0.9948
DCD_L1_shrink,0.9245,0.0423,0.846,0.9697,0.9582,0.0331,0.8972,0.9952
DCD_L2,0.9168,0.0453,0.8399,0.9695,0.957,0.0367,0.8957,0.9952
DCD_L2_shrink,0.9179,0.0438,0.831,0.9695,0.9568,0.0357,0.889,0.9952
DCD_L2_online,0.8924,0.0779,0.6913,0.9495,0.9438,0.0669,0.7666,0.9867
DCD_L1_online,0.8916,0.0751,0.7555,0.9571,0.9157,0.1292,0.4666,0.9856
SVC_linear,0.7864,0.2157,0.2506,0.9439,0.8937,0.1437,0.5422,0.9837
