method,fraction,accuracy_mean,accuracy_std,auc_mean,auc_std,time_s_mean,time_s_std,n_iter_mean,n_iter_std
DCD_L1_perm,0.1,0.7848,0.0012,0.8521,0.0009,1.134,1.377,4.0,0.0
DCD_L1_perm,0.2,0.7846,0.0003,0.8524,0.0002,2.369,1.6407,4.0,1.0
DCD_L1_perm,0.3,0.7849,0.0001,0.8527,0.0002,2.0053,0.3083,4.6667,0.5774
DCD_L1_perm,0.4,0.785,0.0003,0.8529,0.0003,3.0906,0.2803,4.3333,0.5774
DCD_L1_perm,0.5,0.7845,0.0007,0.8523,0.0005,4.9931,0.6004,4.6667,0.5774
DCD_L1_perm,0.6,0.7846,0.0003,0.8526,0.0004,6.9429,0.452,4.6667,0.5774
DCD_L1_perm,0.7,0.7848,0.0006,0.8527,0.0005,7.5951,2.1683,4.6667,1.1547
DCD_L1_perm,0.8,0.7849,0.0006,0.8529,0.0002,7.9677,1.0388,4.3333,0.5774
DCD_L1_perm,0.9,0.7848,0.0002,0.853,0.0001,10.3764,1.0199,4.6667,0.5774
DCD_L1_perm_shrink,0.1,0.7841,0.0004,0.852,0.0008,0.4996,0.0672,5.6667,1.1547
DCD_L1_perm_shrink,0.2,0.7847,0.0005,0.8525,0.0002,1.2032,0.2041,6.6667,0.5774
DCD_L1_perm_shrink,0.3,0.7848,0.0001,0.8527,0.0002,1.5241,0.0779,5.3333,0.5774
DCD_L1_perm_shrink,0.4,0.785,0.0005,0.8529,0.0003,2.0491,0.2093,5.3333,0.5774
DCD_L1_perm_shrink,0.5,0.7846,0.0004,0.8524,0.0005,2.6335,0.1878,5.3333,0.5774
DCD_L1_perm_shrink,0.6,0.7848,0.0003,0.8526,0.0004,3.648,0.2226,6.3333,0.5774
DCD_L1_perm_shrink,0.7,0.7848,0.0004,0.8528,0.0004,3.8505,0.2931,5.3333,0.5774
DCD_L1_perm_shrink,0.8,0.7848,0.0003,0.8529,0.0001,4.8605,0.0658,6.0,0.0
DCD_L1_perm_shrink,0.9,0.7848,0.0001,0.853,0.0001,5.4885,0.4166,5.3333,0.5774
DCD_L2_perm,0.1,0.7855,0.0003,0.8533,0.0008,6.1541,3.0611,12.6667,0.5774
DCD_L2_perm,0.2,0.7849,0.0007,0.8529,0.0003,8.4647,1.7151,12.0,2.6458
DCD_L2_perm,0.3,0.7848,0.0001,0.8527,0.0002,15.39,0.6759,14.0,1.0
DCD_L2_perm,0.4,0.7848,0.0001,0.8527,0.0002,29.9476,0.972,20.0,0.0
DCD_L2_perm,0.5,0.7843,0.0004,0.8521,0.0005,41.4131,3.2726,20.0,0.0
DCD_L2_perm,0.6,0.7844,0.0003,0.8522,0.0004,44.057,2.5066,20.0,0.0
DCD_L2_perm,0.7,0.7844,0.0005,0.8524,0.0005,53.1205,7.0106,20.0,0.0
DCD_L2_perm,0.8,0.7844,0.0002,0.8524,0.0001,54.3465,13.3805,20.3333,0.5774
DCD_L2_perm,0.9,0.7843,0.0001,0.8525,0.0001,55.5551,14.5862,20.0,0.0
DCD_L2_perm_shrink,0.1,0.7855,0.0003,0.8533,0.0008,1.7201,0.0955,14.6667,0.5774
DCD_L2_perm_shrink,0.2,0.7849,0.0006,0.8529,0.0003,3.3535,0.7621,13.3333,3.7859
DCD_L2_perm_shrink,0.3,0.7848,0.0001,0.8527,0.0002,5.3576,0.2281,14.6667,0.5774
DCD_L2_perm_shrink,0.4,0.7848,0.0001,0.8527,0.0002,10.1906,0.2543,21.0,0.0
DCD_L2_perm_shrink,0.5,0.7843,0.0004,0.8521,0.0005,13.4289,0.2693,21.0,0.0
DCD_L2_perm_shrink,0.6,0.7844,0.0003,0.8522,0.0004,16.3962,0.1686,21.6667,0.5774
